"site_id","data","bioma","especie","abundancia"
"S014",2024-03-08,"Mata Atlantica","Boana faber",10
"S003",2024-11-29,"Mata Atlantica","Boana faber",2
"S008",2024-05-31,"Mata Atlantica","Rhinella crucifer",8
"S016",2024-05-17,"Mata Atlantica","Chaunus ictericus",4
"S012",2024-08-23,"Mata Atlantica","Rhinella crucifer",2
"S014",2024-04-19,"Mata Atlantica","Leptodactylus latrans",2
"S003",2024-12-06,"Mata Atlantica","Chaunus ictericus",6
"S014",2024-04-19,"Mata Atlantica","Leptodactylus latrans",2
"S007",2024-04-26,"Mata Atlantica","Leptodactylus latrans",2
"S003",2025-02-21,"Mata Atlantica","Boana faber",8
"S015",2024-10-11,"Mata Atlantica","Leptodactylus latrans",1
"S005",2024-03-15,"Mata Atlantica","Leptodactylus latrans",4
"S008",2024-11-29,"Mata Atlantica","Rhinella crucifer",6
"S019",2024-03-08,"Mata Atlantica","Leptodactylus latrans",0
"S010",2024-03-01,"Mata Atlantica","Chaunus ictericus",7
"S018",2024-04-26,"Mata Atlantica","Leptodactylus latrans",6
"S010",2024-04-12,"Mata Atlantica","Chaunus ictericus",4
"S012",2024-05-24,"Mata Atlantica","Leptodactylus latrans",0
"S002",2024-09-13,"Mata Atlantica","Chaunus ictericus",1
"S010",2024-07-12,"Mata Atlantica","Chaunus ictericus",4
"S012",2024-05-31,"Mata Atlantica","Boana faber",1
"S020",2024-06-14,"Mata Atlantica","Boana faber",6
"S014",2024-04-12,"Mata Atlantica","Chaunus ictericus",4
"S017",2024-11-01,"Mata Atlantica","Chaunus ictericus",3
"S014",2025-01-03,"Mata Atlantica","Chaunus ictericus",2
"S003",2024-05-17,"Mata Atlantica","Leptodactylus latrans",6
"S008",2024-08-16,"Mata Atlantica","Chaunus ictericus",0
"S014",2024-08-30,"Mata Atlantica","Chaunus ictericus",1
"S019",2024-05-24,"Mata Atlantica","Boana faber",7
"S015",2024-07-12,"Mata Atlantica","Chaunus ictericus",9
"S017",2024-05-03,"Mata Atlantica","Chaunus ictericus",4
"S011",2024-09-20,"Mata Atlantica","Leptodactylus latrans",5
"S007",2024-12-06,"Mata Atlantica","Boana faber",3
"S015",2024-05-17,"Mata Atlantica","Rhinella crucifer",1
"S006",2024-04-19,"Mata Atlantica","Rhinella crucifer",0
"S014",2024-04-12,"Mata Atlantica","Leptodactylus latrans",8
"S007",2024-06-07,"Mata Atlantica","Boana faber",4
"S010",2024-07-05,"Mata Atlantica","Rhinella crucifer",4
"S005",2025-01-31,"Mata Atlantica","Leptodactylus latrans",2
"S006",2024-12-20,"Mata Atlantica","Chaunus ictericus",0
"S016",2024-11-22,"Mata Atlantica","Rhinella crucifer",1
"S011",2025-02-14,"Mata Atlantica","Boana faber",0
"S004",2024-08-02,"Mata Atlantica","Rhinella crucifer",1
"S012",2024-10-25,"Mata Atlantica","Boana faber",2
"S014",2024-04-05,"Mata Atlantica","Boana faber",1
"S019",2024-04-12,"Mata Atlantica","Boana faber",5
"S007",2024-03-22,"Mata Atlantica","Boana faber",1
"S009",2024-05-03,"Mata Atlantica","Rhinella crucifer",1
"S007",2024-06-21,"Mata Atlantica","Chaunus ictericus",2
"S002",2025-01-24,"Mata Atlantica","Leptodactylus latrans",1
"S016",2024-04-19,"Mata Atlantica","Boana faber",1
"S013",2025-02-28,"Mata Atlantica","Leptodactylus latrans",1
"S019",2024-03-15,"Mata Atlantica","Boana faber",6
"S020",2024-12-27,"Mata Atlantica","Chaunus ictericus",6
"S015",2025-02-28,"Mata Atlantica","Leptodactylus latrans",5
"S007",2025-01-10,"Mata Atlantica","Boana faber",1
"S004",2024-11-08,"Mata Atlantica","Rhinella crucifer",5
"S001",2024-05-31,"Mata Atlantica","Leptodactylus latrans",6
"S008",2024-09-06,"Mata Atlantica","Boana faber",0
"S020",2024-04-05,"Mata Atlantica","Leptodactylus latrans",4
"S016",2024-04-26,"Mata Atlantica","Leptodactylus latrans",0
"S011",2024-10-11,"Mata Atlantica","Boana faber",3
"S016",2025-02-21,"Mata Atlantica","Rhinella crucifer",1
"S020",2025-01-10,"Mata Atlantica","Boana faber",7
"S008",2024-07-05,"Mata Atlantica","Rhinella crucifer",4
"S003",2024-11-08,"Mata Atlantica","Rhinella crucifer",2
"S004",2024-10-18,"Mata Atlantica","Boana faber",5
"S020",2024-03-01,"Mata Atlantica","Leptodactylus latrans",6
"S012",2024-09-06,"Mata Atlantica","Chaunus ictericus",5
"S017",2025-02-21,"Mata Atlantica","Rhinella crucifer",0
"S010",2024-09-20,"Mata Atlantica","Chaunus ictericus",1
"S020",2024-03-22,"Mata Atlantica","Chaunus ictericus",7
"S011",2024-08-23,"Mata Atlantica","Rhinella crucifer",3
"S008",2024-05-10,"Mata Atlantica","Leptodactylus latrans",0
"S014",2024-03-29,"Mata Atlantica","Chaunus ictericus",3
"S013",2024-11-01,"Mata Atlantica","Boana faber",0
"S002",2024-07-05,"Mata Atlantica","Leptodactylus latrans",2
"S011",2024-10-25,"Mata Atlantica","Chaunus ictericus",1
"S013",2024-10-11,"Mata Atlantica","Boana faber",7
"S014",2024-11-22,"Mata Atlantica","Boana faber",6
"S006",2024-03-29,"Mata Atlantica","Leptodactylus latrans",9
"S008",2024-08-02,"Mata Atlantica","Boana faber",1
"S012",2024-12-06,"Mata Atlantica","Rhinella crucifer",3
"S004",2024-08-16,"Mata Atlantica","Boana faber",4
"S013",2025-01-31,"Mata Atlantica","Leptodactylus latrans",2
"S014",2024-07-19,"Mata Atlantica","Boana faber",8
"S016",2024-03-29,"Mata Atlantica","Rhinella crucifer",7
"S001",2024-05-17,"Mata Atlantica","Rhinella crucifer",3
"S008",2024-03-08,"Mata Atlantica","Rhinella crucifer",3
"S008",2024-06-28,"Mata Atlantica","Chaunus ictericus",2
"S010",2024-03-22,"Mata Atlantica","Leptodactylus latrans",2
"S008",2024-12-13,"Mata Atlantica","Chaunus ictericus",3
"S018",2025-01-17,"Mata Atlantica","Leptodactylus latrans",2
"S009",2024-08-02,"Mata Atlantica","Leptodactylus latrans",0
"S007",2024-04-19,"Mata Atlantica","Boana faber",10
"S007",2024-03-01,"Mata Atlantica","Rhinella crucifer",6
"S010",2024-05-10,"Mata Atlantica","Leptodactylus latrans",6
"S011",2024-11-08,"Mata Atlantica","Leptodactylus latrans",4
"S001",2024-05-10,"Mata Atlantica","Boana faber",3
"S019",2024-06-07,"Mata Atlantica","Rhinella crucifer",7
"S010",2024-06-07,"Mata Atlantica","Leptodactylus latrans",0
"S013",2024-12-13,"Mata Atlantica","Chaunus ictericus",0
"S011",2024-06-07,"Mata Atlantica","Boana faber",8
"S011",2024-06-07,"Mata Atlantica","Boana faber",3
"S020",2025-02-21,"Mata Atlantica","Chaunus ictericus",3
"S007",2024-12-27,"Mata Atlantica","Chaunus ictericus",3
"S020",2024-12-06,"Mata Atlantica","Leptodactylus latrans",2
"S009",2024-08-16,"Mata Atlantica","Leptodactylus latrans",2
"S009",2024-11-01,"Mata Atlantica","Leptodactylus latrans",2
"S005",2024-03-15,"Mata Atlantica","Rhinella crucifer",9
"S014",2024-04-12,"Mata Atlantica","Boana faber",3
"S014",2024-03-22,"Mata Atlantica","Leptodactylus latrans",9
"S006",2024-11-29,"Mata Atlantica","Leptodactylus latrans",2
"S001",2025-02-28,"Mata Atlantica","Boana faber",1
"S010",2024-11-08,"Mata Atlantica","Leptodactylus latrans",2
"S017",2024-08-09,"Mata Atlantica","Chaunus ictericus",2
"S017",2024-11-15,"Mata Atlantica","Leptodactylus latrans",9
"S007",2024-03-22,"Mata Atlantica","Leptodactylus latrans",1
"S009",2024-03-15,"Mata Atlantica","Leptodactylus latrans",2
"S020",2024-05-10,"Mata Atlantica","Boana faber",2
"S006",2024-05-03,"Mata Atlantica","Boana faber",1
"S018",2024-09-13,"Mata Atlantica","Chaunus ictericus",5
"S017",2024-08-02,"Mata Atlantica","Chaunus ictericus",3
"S005",2024-03-29,"Mata Atlantica","Leptodactylus latrans",5
"S020",2024-08-09,"Mata Atlantica","Boana faber",4
"S003",2024-10-04,"Mata Atlantica","Rhinella crucifer",2
"S014",2024-08-16,"Mata Atlantica","Rhinella crucifer",5
"S001",2024-05-10,"Mata Atlantica","Leptodactylus latrans",0
"S002",2024-05-03,"Mata Atlantica","Leptodactylus latrans",5
"S004",2024-06-07,"Mata Atlantica","Rhinella crucifer",5
"S010",2025-02-14,"Mata Atlantica","Chaunus ictericus",4
"S001",2024-09-27,"Mata Atlantica","Boana faber",2
"S005",2024-05-03,"Mata Atlantica","Leptodactylus latrans",2
"S008",2025-01-03,"Mata Atlantica","Chaunus ictericus",4
"S013",2024-08-09,"Mata Atlantica","Leptodactylus latrans",6
"S018",2024-10-25,"Mata Atlantica","Boana faber",6
"S010",2025-02-07,"Mata Atlantica","Boana faber",5
"S006",2024-05-03,"Mata Atlantica","Leptodactylus latrans",1
"S007",2024-04-19,"Mata Atlantica","Chaunus ictericus",3
"S009",2024-12-27,"Mata Atlantica","Chaunus ictericus",1
"S016",2024-12-13,"Mata Atlantica","Rhinella crucifer",3
"S017",2024-10-04,"Mata Atlantica","Leptodactylus latrans",6
"S013",2024-11-22,"Mata Atlantica","Rhinella crucifer",5
"S008",2024-04-12,"Mata Atlantica","Rhinella crucifer",6
"S007",2024-11-15,"Mata Atlantica","Rhinella crucifer",4
"S020",2024-06-21,"Mata Atlantica","Leptodactylus latrans",1
"S018",2024-07-12,"Mata Atlantica","Boana faber",1
"S017",2024-10-11,"Mata Atlantica","Rhinella crucifer",4
"S001",2024-11-08,"Mata Atlantica","Leptodactylus latrans",1
"S002",2024-05-03,"Mata Atlantica","Leptodactylus latrans",7
"S017",2025-01-03,"Mata Atlantica","Leptodactylus latrans",2
"S002",2024-05-03,"Mata Atlantica","Chaunus ictericus",1
"S013",2024-03-08,"Mata Atlantica","Rhinella crucifer",6
"S017",2024-06-07,"Mata Atlantica","Chaunus ictericus",4
"S003",2024-08-02,"Mata Atlantica","Leptodactylus latrans",6
"S018",2025-01-17,"Mata Atlantica","Chaunus ictericus",6
"S002",2024-11-29,"Mata Atlantica","Chaunus ictericus",3
"S005",2024-10-25,"Mata Atlantica","Leptodactylus latrans",5
"S012",2024-03-08,"Mata Atlantica","Boana faber",7
"S013",2024-04-05,"Mata Atlantica","Boana faber",5
"S010",2025-01-10,"Mata Atlantica","Chaunus ictericus",4
"S006",2025-01-17,"Mata Atlantica","Boana faber",4
"S010",2025-02-14,"Mata Atlantica","Rhinella crucifer",1
"S010",2024-04-26,"Mata Atlantica","Leptodactylus latrans",3
"S006",2024-08-02,"Mata Atlantica","Chaunus ictericus",3
"S016",2024-08-16,"Mata Atlantica","Chaunus ictericus",1
"S016",2024-06-07,"Mata Atlantica","Chaunus ictericus",3
"S003",2024-07-26,"Mata Atlantica","Rhinella crucifer",5
"S004",2025-01-24,"Mata Atlantica","Chaunus ictericus",7
"S003",2024-04-19,"Mata Atlantica","Rhinella crucifer",3
"S003",2024-09-13,"Mata Atlantica","Chaunus ictericus",1
"S016",2024-12-06,"Mata Atlantica","Chaunus ictericus",1
"S002",2024-07-19,"Mata Atlantica","Boana faber",3
"S015",2025-01-24,"Mata Atlantica","Boana faber",6
"S003",2024-04-26,"Mata Atlantica","Boana faber",8
"S009",2024-10-18,"Mata Atlantica","Rhinella crucifer",6
"S007",2024-12-06,"Mata Atlantica","Leptodactylus latrans",1
"S009",2024-12-20,"Mata Atlantica","Boana faber",5
"S004",2024-05-10,"Mata Atlantica","Rhinella crucifer",6
"S002",2024-03-22,"Mata Atlantica","Boana faber",0
"S012",2024-04-12,"Mata Atlantica","Boana faber",0
"S009",2025-02-07,"Mata Atlantica","Chaunus ictericus",4
"S011",2024-05-10,"Mata Atlantica","Boana faber",5
"S007",2024-10-11,"Mata Atlantica","Rhinella crucifer",3
"S013",2024-05-10,"Mata Atlantica","Leptodactylus latrans",4
"S005",2024-11-15,"Mata Atlantica","Rhinella crucifer",3
"S011",2024-07-19,"Mata Atlantica","Chaunus ictericus",6
"S001",2024-05-03,"Mata Atlantica","Leptodactylus latrans",3
"S019",2025-02-07,"Mata Atlantica","Leptodactylus latrans",3
"S012",2024-03-15,"Mata Atlantica","Leptodactylus latrans",1
"S002",2024-10-25,"Mata Atlantica","Chaunus ictericus",0
"S017",2024-10-18,"Mata Atlantica","Rhinella crucifer",1
"S012",2024-11-29,"Mata Atlantica","Leptodactylus latrans",0
"S003",2024-09-06,"Mata Atlantica","Boana faber",3
"S018",2024-05-24,"Mata Atlantica","Rhinella crucifer",3
"S015",2024-04-19,"Mata Atlantica","Chaunus ictericus",1
"S003",2024-03-08,"Mata Atlantica","Leptodactylus latrans",1
"S019",2024-04-05,"Mata Atlantica","Boana faber",2
"S018",2024-08-02,"Mata Atlantica","Boana faber",8
"S017",2024-06-21,"Mata Atlantica","Leptodactylus latrans",5
"S006",2024-10-04,"Mata Atlantica","Leptodactylus latrans",0
"S010",2024-05-31,"Mata Atlantica","Leptodactylus latrans",5
"S008",2024-04-12,"Mata Atlantica","Chaunus ictericus",1
"S010",2024-05-24,"Mata Atlantica","Chaunus ictericus",4
"S013",2024-04-19,"Mata Atlantica","Rhinella crucifer",1
"S020",2024-11-15,"Mata Atlantica","Leptodactylus latrans",2
"S006",2024-05-10,"Mata Atlantica","Leptodactylus latrans",2
"S020",2024-12-13,"Mata Atlantica","Chaunus ictericus",2
"S020",2024-06-21,"Mata Atlantica","Leptodactylus latrans",6
"S009",2024-04-12,"Mata Atlantica","Rhinella crucifer",1
"S016",2024-12-27,"Mata Atlantica","Rhinella crucifer",0
"S008",2024-07-05,"Mata Atlantica","Boana faber",8
"S007",2025-01-31,"Mata Atlantica","Leptodactylus latrans",4
"S010",2024-11-29,"Mata Atlantica","Rhinella crucifer",1
"S017",2024-06-07,"Mata Atlantica","Leptodactylus latrans",4
"S018",2025-01-10,"Mata Atlantica","Chaunus ictericus",4
"S008",2024-05-31,"Mata Atlantica","Chaunus ictericus",0
"S019",2024-08-23,"Mata Atlantica","Chaunus ictericus",12
"S010",2024-08-30,"Mata Atlantica","Chaunus ictericus",2
"S011",2024-06-21,"Mata Atlantica","Boana faber",12
"S017",2024-10-11,"Mata Atlantica","Boana faber",0
"S012",2025-02-07,"Mata Atlantica","Leptodactylus latrans",6
"S002",2024-06-28,"Mata Atlantica","Leptodactylus latrans",2
"S019",2024-07-12,"Mata Atlantica","Boana faber",4
"S013",2024-08-30,"Mata Atlantica","Chaunus ictericus",7
"S013",2024-12-13,"Mata Atlantica","Rhinella crucifer",5
"S019",2024-05-03,"Mata Atlantica","Rhinella crucifer",0
"S010",2025-02-28,"Mata Atlantica","Rhinella crucifer",0
"S016",2024-04-26,"Mata Atlantica","Chaunus ictericus",2
"S005",2024-09-27,"Mata Atlantica","Leptodactylus latrans",6
"S004",2024-07-05,"Mata Atlantica","Boana faber",4
"S018",2025-02-07,"Mata Atlantica","Chaunus ictericus",3
"S001",2024-06-28,"Mata Atlantica","Rhinella crucifer",2
"S016",2024-12-27,"Mata Atlantica","Chaunus ictericus",7
"S017",2024-12-27,"Mata Atlantica","Boana faber",4
"S012",2024-09-06,"Mata Atlantica","Leptodactylus latrans",1
"S002",2024-07-19,"Mata Atlantica","Chaunus ictericus",3
"S018",2024-09-13,"Mata Atlantica","Rhinella crucifer",0
"S012",2024-11-01,"Mata Atlantica","Boana faber",10
"S015",2024-07-12,"Mata Atlantica","Rhinella crucifer",8
"S019",2024-08-02,"Mata Atlantica","Rhinella crucifer",5
"S006",2024-12-13,"Mata Atlantica","Rhinella crucifer",2
"S016",2024-03-29,"Mata Atlantica","Chaunus ictericus",7
"S015",2024-03-08,"Mata Atlantica","Boana faber",1
"S019",2024-06-28,"Mata Atlantica","Leptodactylus latrans",4
"S003",2024-05-17,"Mata Atlantica","Boana faber",9
"S014",2024-05-24,"Mata Atlantica","Chaunus ictericus",2
"S001",2024-12-20,"Mata Atlantica","Rhinella crucifer",1
